dimension,key,train,validation,test,total
type,destination_activity,36,4,4,44
type,destination_attractions,45,5,5,55
type,destination_description,52,7,7,66
type,destination_nature,51,6,6,63
type,interest_recommendation,58,7,7,72
type,multi_day_plan,28,4,4,36
type,multi_destination_plan,34,4,4,42
type,multi_turn,48,6,6,60
type,one_day_plan,28,4,4,36
type,out_of_domain,32,4,4,40
type,route_connection,28,4,4,36
type,uncertain_dynamic,40,5,5,50
destination_id,banja_luka,7,0,1,8
destination_id,bihac,5,0,2,7
destination_id,bijeljina,8,1,0,9
destination_id,bileca,8,0,1,9
destination_id,blagaj,6,2,0,8
destination_id,blidinje,8,1,0,9
destination_id,bosanska_krupa,8,0,0,8
destination_id,brcko,9,1,0,10
destination_id,bugojno,5,1,1,7
destination_id,capljina,6,1,1,8
destination_id,cazin,7,0,1,8
destination_id,citluk,8,0,1,9
destination_id,doboj,4,3,1,8
destination_id,donji_vakuf,5,2,1,8
destination_id,foca,6,1,2,9
destination_id,fojnica,7,0,2,9
destination_id,gacko,7,2,0,9
destination_id,gorazde,6,1,0,7
destination_id,gracanica,7,0,0,7
destination_id,gradacac,6,2,0,8
destination_id,grude,6,1,1,8
destination_id,ilidza_i_vrelo_bosne,8,0,1,9
destination_id,istocno_sarajevo,6,2,1,9
destination_id,jablanica,6,0,1,7
destination_id,jajce,7,2,0,9
destination_id,kakanj,7,1,1,9
destination_id,kiseljak,8,0,1,9
destination_id,kljuc,5,1,0,6
destination_id,konjic,8,1,0,9
destination_id,kozara_i_np_kozara,9,0,0,9
destination_id,kresevo,7,2,1,10
destination_id,kupres,6,0,2,8
destination_id,laktasi,5,0,3,8
destination_id,livno,7,1,1,9
destination_id,ljubuski_i_vodopad_kravica,6,2,2,10
destination_id,lukavac,9,0,0,9
destination_id,maglaj,5,1,1,7
destination_id,martin_brod_i_np_una,7,0,0,7
destination_id,medjugorje,4,3,2,9
destination_id,mostar,5,1,0,6
destination_id,mrkonjic_grad,6,0,1,7
destination_id,neum,6,2,1,9
destination_id,nevesinje,8,0,1,9
destination_id,pale_i_jahorina,8,0,1,9
destination_id,pocitelj,8,0,0,8
destination_id,posusje,7,0,2,9
destination_id,prijedor,7,1,0,8
destination_id,prokosko_jezero,4,3,1,8
destination_id,prozor_rama,8,0,2,10
destination_id,ribnik,8,0,1,9
destination_id,rogatica,5,1,1,7
destination_id,sanski_most,8,0,0,8
destination_id,sarajevo,6,2,1,9
destination_id,sipovo_i_janjske_otoke,5,1,1,7
destination_id,siroki_brijeg,8,2,0,10
destination_id,srebrenica,5,2,0,7
destination_id,srebrenik,9,0,0,9
destination_id,stolac,6,1,1,8
destination_id,tesanj,8,0,1,9
destination_id,tjentiste_i_np_sutjeska,6,0,1,7
destination_id,tomislavgrad,7,2,0,9
destination_id,travnik,6,0,2,8
destination_id,trebinje,6,1,3,10
destination_id,trnovo_i_bjelasnica,6,1,1,8
destination_id,tuzla,5,3,1,9
destination_id,velika_kladusa,7,0,1,8
destination_id,visegrad,7,0,0,7
destination_id,visoko,7,0,0,7
destination_id,vitez,8,0,1,9
destination_id,vlasenica,8,1,1,10
destination_id,zenica,7,1,1,9
destination_id,zvornik,8,0,1,9
destination_id,__NO_DESTINATION__,32,4,4,40
